date_time,day_type,hawker_center,taxi_counts
2023-06-24 19:00:00,weekend,Hong Lim,239
2023-06-24 20:00:00,weekend,Hong Lim,205
2023-06-24 16:00:00,weekend,ABC Brickworks,137
2023-06-24 17:00:00,weekend,ABC Brickworks,129
2023-06-24 18:00:00,weekend,ABC Brickworks,120
2023-06-24 19:00:00,weekend,ABC Brickworks,139
2023-06-24 20:00:00,weekend,ABC Brickworks,125
2023-06-25 16:00:00,weekend,Maxwell,162
2023-06-25 17:00:00,weekend,Maxwell,171
2023-06-25 18:00:00,weekend,Maxwell,85
2023-06-25 19:00:00,weekend,Maxwell,103
2023-06-25 20:00:00,weekend,Maxwell,90
2023-06-25 16:00:00,weekend,Hong Lim,185
2023-06-25 17:00:00,weekend,Hong Lim,195
2023-06-25 18:00:00,weekend,Hong Lim,93
2023-06-25 19:00:00,weekend,Hong Lim,106
2023-06-25 20:00:00,weekend,Hong Lim,96
2023-06-25 16:00:00,weekend,ABC Brickworks,113
2023-06-25 17:00:00,weekend,ABC Brickworks,152
2023-06-25 18:00:00,weekend,ABC Brickworks,53
2023-06-25 19:00:00,weekend,ABC Brickworks,43
2023-06-25 20:00:00,weekend,ABC Brickworks,49
2023-06-26 16:00:00,weekday,Maxwell,223
2023-06-26 17:00:00,weekday,Maxwell,189
2023-06-26 18:00:00,weekday,Maxwell,197
2023-06-26 19:00:00,weekday,Maxwell,236
2023-06-26 20:00:00,weekday,Maxwell,259
2023-06-26 16:00:00,weekday,Hong Lim,252
2023-06-26 17:00:00,weekday,Hong Lim,221
2023-06-26 18:00:00,weekday,Hong Lim,217
2023-06-26 19:00:00,weekday,Hong Lim,262
2023-06-26 20:00:00,weekday,Hong Lim,283
2023-06-26 16:00:00,weekday,ABC Brickworks,145
2023-06-26 17:00:00,weekday,ABC Brickworks,80
2023-06-26 18:00:00,weekday,ABC Brickworks,67
2023-06-26 19:00:00,weekday,ABC Brickworks,100
2023-06-26 20:00:00,weekday,ABC Brickworks,146
2023-06-27 16:00:00,weekday,Maxwell,223
2023-06-27 17:00:00,weekday,Maxwell,183
2023-06-27 18:00:00,weekday,Maxwell,173
2023-06-27 19:00:00,weekday,Maxwell,159
2023-06-27 20:00:00,weekday,Maxwell,236
2023-06-27 16:00:00,weekday,Hong Lim,259
2023-06-27 17:00:00,weekday,Hong Lim,213
2023-06-27 18:00:00,weekday,Hong Lim,185
2023-06-27 19:00:00,weekday,Hong Lim,182
2023-06-27 20:00:00,weekday,Hong Lim,270
2023-06-27 16:00:00,weekday,ABC Brickworks,151
2023-06-27 17:00:00,weekday,ABC Brickworks,109
2023-06-27 18:00:00,weekday,ABC Brickworks,83
2023-06-27 19:00:00,weekday,ABC Brickworks,66
2023-06-27 20:00:00,weekday,ABC Brickworks,112
2023-06-28 16:00:00,weekday,Maxwell,162
2023-06-28 17:00:00,weekday,Maxwell,148
2023-06-28 18:00:00,weekday,Maxwell,110
2023-06-28 19:00:00,weekday,Maxwell,132
2023-06-28 20:00:00,weekday,Maxwell,201
2023-06-28 16:00:00,weekday,Hong Lim,179
2023-06-28 17:00:00,weekday,Hong Lim,164
2023-06-28 18:00:00,weekday,Hong Lim,117
2023-06-28 19:00:00,weekday,Hong Lim,135
2023-06-28 20:00:00,weekday,Hong Lim,219
2023-06-28 16:00:00,weekday,ABC Brickworks,112
2023-06-28 17:00:00,weekday,ABC Brickworks,81
2023-06-28 18:00:00,weekday,ABC Brickworks,69
2023-06-28 19:00:00,weekday,ABC Brickworks,68
2023-06-28 20:00:00,weekday,ABC Brickworks,84
2023-06-29 16:00:00,holiday,Maxwell,126
2023-06-29 17:00:00,holiday,Maxwell,159
2023-06-29 18:00:00,holiday,Maxwell,155
2023-06-29 19:00:00,holiday,Maxwell,256
2023-06-29 20:00:00,holiday,Maxwell,229
2023-06-29 16:00:00,holiday,Hong Lim,140
2023-06-29 17:00:00,holiday,Hong Lim,168
2023-06-29 18:00:00,holiday,Hong Lim,173
2023-06-29 19:00:00,holiday,Hong Lim,286
2023-06-29 20:00:00,holiday,Hong Lim,258
2023-06-29 16:00:00,holiday,ABC Brickworks,77
2023-06-29 17:00:00,holiday,ABC Brickworks,86
2023-06-29 18:00:00,holiday,ABC Brickworks,72
2023-06-29 19:00:00,holiday,ABC Brickworks,93
2023-06-29 20:00:00,holiday,ABC Brickworks,116
2023-06-30 16:00:00,weekday,Maxwell,215
2023-06-30 17:00:00,weekday,Maxwell,151
2023-06-30 18:00:00,weekday,Maxwell,147
2023-06-30 19:00:00,weekday,Maxwell,191
2023-06-30 20:00:00,weekday,Maxwell,307
2023-06-30 16:00:00,weekday,Hong Lim,242
2023-06-30 17:00:00,weekday,Hong Lim,173
2023-06-30 18:00:00,weekday,Hong Lim,164
2023-06-30 19:00:00,weekday,Hong Lim,205
2023-06-30 20:00:00,weekday,Hong Lim,343
2023-06-30 16:00:00,weekday,ABC Brickworks,116
2023-06-30 17:00:00,weekday,ABC Brickworks,87
2023-06-30 18:00:00,weekday,ABC Brickworks,74
2023-06-30 19:00:00,weekday,ABC Brickworks,57
2023-06-30 20:00:00,weekday,ABC Brickworks,103
