minutes,taxi_count,sum
"['10.53.00', '10.54.00', '10.55.00', '10.56.00', '10.57.00', '10.58.00', '10.59.00', '11.00.00']","[26, 33, 31, 31, 16, 23, 25, 23]",8
"['11.03.00', '11.04.00', '11.05.00']","[36, 33, 28]",3
"['11.09.00', '11.10.00', '11.11.00', '11.12.00']","[23, 26, 29, 28]",4
"['11.14.00', '11.15.00', '11.16.00', '11.17.00', '11.18.00', '11.19.00', '11.20.00', '11.21.00']","[28, 22, 19, 17, 25, 27, 27, 25]",8
"['11.42.00', '11.43.00']","[20, 23]",2
"['11.46.00', '11.47.00', '11.48.00']","[27, 25, 26]",3
"['11.52.00', '11.53.00', '11.54.00']","[27, 27, 26]",3
"['12.23.00', '12.24.00', '12.25.00']","[24, 22, 20]",3
"['12.34.00', '12.35.00', '12.36.00', '12.37.00', '12.38.00', '12.39.00']","[28, 27, 30, 37, 33, 27]",6
"['12.42.00', '12.43.00']","[37, 29]",2
"['12.49.00', '12.50.00', '12.51.00', '12.52.00']","[27, 39, 31, 39]",4
"['12.55.00', '12.56.00', '12.57.00', '12.58.00', '12.59.00']","[19, 20, 23, 20, 35]",5
"['13.02.00', '13.03.00']","[36, 33]",2
"['13.07.00', '13.08.00', '13.09.00', '13.10.00', '13.11.00', '13.12.00']","[21, 31, 28, 31, 25, 29]",6
"['13.16.00', '13.17.00', '13.18.00']","[30, 27, 35]",3
"['13.20.00', '13.21.00']","[30, 33]",2
"['13.23.00', '13.24.00', '13.25.00']","[35, 25, 30]",3
"['13.34.00', '13.35.00']","[25, 37]",2
"['13.41.00', '13.42.00']","[37, 29]",2
"['13.48.00', '13.49.00', '13.50.00', '13.51.00', '13.52.00']","[33, 26, 28, 29, 36]",5
"['13.54.00', '13.55.00', '13.56.00', '13.57.00', '13.58.00']","[25, 29, 19, 39, 32]",5
"['14.00.00', '14.01.00', '14.02.00', '14.03.00']","[27, 30, 21, 20]",4
"['14.05.00', '14.06.00', '14.07.00']","[28, 28, 29]",3
"['14.10.00', '14.11.00', '14.12.00', '14.13.00', '14.14.00', '14.15.00', '14.16.00']","[33, 50, 36, 39, 44, 35, 34]",7
"['14.18.00', '14.19.00', '14.20.00', '14.21.00', '14.22.00', '14.23.00']","[30, 33, 33, 45, 32, 28]",6
"['14.25.00', '14.26.00', '14.27.00']","[31, 33, 34]",3
"['14.30.00', '14.31.00', '14.32.00', '14.33.00']","[31, 25, 23, 28]",4
"['14.35.00', '14.36.00', '14.37.00', '14.38.00', '14.39.00', '14.40.00', '14.41.00', '14.42.00', '14.43.00', '14.44.00', '14.45.00', '14.46.00', '14.47.00', '14.48.00', '14.49.00', '14.50.00', '14.51.00', '14.52.00', '14.53.00', '14.54.00']","[37, 33, 37, 25, 19, 24, 33, 31, 22, 32, 29, 22, 16, 24, 28, 32, 32, 24, 25, 27]",20
"['14.56.00', '14.57.00']","[27, 22]",2
"['15.00.00', '15.01.00', '15.02.00', '15.03.00']","[25, 22, 30, 21]",4
"['15.14.00', '15.15.00']","[19, 18]",2
"['15.17.00', '15.18.00', '15.19.00']","[19, 34, 30]",3
"['15.21.00', '15.22.00', '15.23.00']","[32, 35, 23]",3
"['15.25.00', '15.26.00', '15.27.00']","[25, 25, 34]",3
"['15.33.00', '15.34.00']","[24, 26]",2
"['15.37.00', '15.38.00', '15.39.00', '15.40.00']","[29, 20, 32, 34]",4
"['15.42.00', '15.43.00', '15.44.00', '15.45.00', '15.46.00']","[20, 31, 33, 29, 38]",5
"['15.48.00', '15.49.00', '15.50.00', '15.51.00', '15.52.00', '15.53.00', '15.54.00', '15.55.00']","[36, 25, 26, 25, 32, 32, 20, 24]",8
"['15.57.00', '15.58.00']","[25, 30]",2
"['16.05.00', '16.06.00', '16.07.00']","[22, 24, 20]",3
"['16.09.00', '16.10.00', '16.11.00']","[31, 31, 28]",3
"['16.13.00', '16.14.00', '16.15.00', '16.16.00']","[26, 29, 42, 36]",4
"['16.18.00', '16.19.00']","[32, 22]",2
"['16.21.00', '16.22.00']","[20, 33]",2
"['16.41.00', '16.42.00', '16.43.00', '16.44.00']","[22, 25, 21, 18]",4
"['17.02.00', '17.03.00', '17.04.00']","[25, 19, 22]",3
"['17.51.00', '17.52.00', '17.53.00', '17.54.00', '17.55.00', '17.56.00', '17.57.00']","[29, 37, 42, 19, 37, 44, 34]",7
"['17.59.00', '18.00.00', '18.01.00', '18.02.00']","[23, 31, 45, 24]",4
"['18.06.00', '18.07.00', '18.08.00', '18.09.00', '18.10.00', '18.11.00', '18.12.00', '18.13.00', '18.14.00', '18.15.00', '18.16.00', '18.17.00', '18.18.00', '18.19.00', '18.20.00', '18.21.00', '18.22.00', '18.23.00', '18.24.00', '18.25.00']","[27, 38, 24, 33, 36, 33, 28, 25, 26, 24, 29, 20, 19, 29, 36, 27, 23, 26, 22, 23]",20
"['18.28.00', '18.29.00', '18.30.00']","[26, 25, 19]",3
"['18.33.00', '18.34.00', '18.35.00', '18.36.00']","[24, 36, 25, 20]",4
"['18.38.00', '18.39.00', '18.40.00']","[29, 24, 28]",3
"['18.59.00', '19.00.00']","[26, 19]",2
"['19.15.00', '19.16.00']","[23, 29]",2
"['19.22.00', '19.23.00', '19.24.00']","[17, 32, 24]",3
"['19.27.00', '19.28.00', '19.29.00', '19.30.00']","[25, 14, 22, 19]",4
"['19.32.00', '19.33.00', '19.34.00']","[36, 22, 16]",3
"['19.42.00', '19.43.00', '19.44.00', '19.45.00', '19.46.00', '19.47.00', '19.48.00']","[33, 23, 39, 28, 36, 20, 33]",7
"['19.50.00', '19.51.00', '19.52.00', '19.53.00', '19.54.00']","[23, 30, 27, 39, 27]",5
"['19.56.00', '19.57.00', '19.58.00']","[27, 22, 28]",3
"['20.00.00', '20.01.00', '20.02.00', '20.03.00', '20.04.00', '20.05.00', '20.06.00', '20.07.00']","[21, 21, 44, 28, 25, 24, 33, 29]",8
"['20.11.00', '20.12.00', '20.13.00', '20.14.00', '20.15.00']","[34, 45, 44, 36, 32]",5
"['20.22.00', '20.23.00']","[18, 22]",2
"['20.25.00', '20.26.00']","[24, 19]",2
"['20.37.00', '20.38.00']","[20, 21]",2
"['20.50.00', '20.51.00', '20.52.00']","[23, 28, 44]",3
"['20.54.00', '20.55.00', '20.56.00', '20.57.00', '20.58.00', '20.59.00', '21.00.00', '21.01.00']","[17, 24, 22, 28, 24, 24, 29, 33]",8
"['21.04.00', '21.05.00', '21.06.00', '21.07.00', '21.08.00', '21.09.00', '21.10.00', '21.11.00', '21.12.00', '21.13.00', '21.14.00']","[20, 31, 23, 23, 29, 28, 26, 25, 24, 20, 22]",11
"['21.16.00', '21.17.00', '21.18.00']","[38, 27, 22]",3
"['21.22.00', '21.23.00']","[28, 26]",2
"['21.25.00', '21.26.00', '21.27.00', '21.28.00']","[21, 28, 17, 16]",4
"['21.31.00', '21.32.00']","[16, 24]",2
"['21.40.00', '21.41.00', '21.42.00', '21.43.00']","[27, 37, 36, 44]",4
"['21.45.00', '21.46.00']","[55, 27]",2
"['21.49.00', '21.50.00']","[33, 30]",2
"['21.52.00', '21.53.00', '21.54.00', '21.55.00']","[28, 29, 33, 33]",4
"['21.57.00', '21.58.00', '21.59.00']","[39, 33, 31]",3
"['22.01.00', '22.02.00', '22.03.00', '22.04.00', '22.05.00', '22.06.00', '22.07.00', '22.08.00']","[22, 28, 40, 43, 41, 22, 34, 38]",8
"['22.24.00', '22.25.00', '22.26.00']","[22, 26, 30]",3
"['22.28.00', '22.29.00', '22.30.00', '22.31.00', '22.32.00', '22.33.00', '22.34.00', '22.35.00', '22.36.00']","[24, 24, 28, 14, 24, 28, 19, 27, 24]",9
"['22.38.00', '22.39.00', '22.40.00', '22.41.00', '22.42.00']","[22, 23, 17, 27, 26]",5
"['22.44.00', '22.45.00', '22.46.00']","[33, 34, 23]",3
"['22.54.00', '22.55.00', '22.56.00', '22.57.00']","[27, 24, 50, 36]",4
"['23.00.00', '23.01.00']","[29, 36]",2
"['23.03.00', '23.04.00', '23.05.00']","[25, 26, 27]",3
"['23.07.00', '23.08.00', '23.09.00']","[21, 17, 23]",3
"['23.20.00', '23.21.00', '23.22.00', '23.23.00', '23.24.00']","[26, 29, 24, 20, 24]",5
"['23.26.00', '23.27.00']","[19, 29]",2
"['23.43.00', '23.44.00', '23.45.00']","[27, 26, 26]",3
