minutes,taxi_count,sum
"['07.09.00', '07.10.00', '07.11.00', '07.12.00', '07.13.00']","[27, 32, 30, 32, 34]",5
"['07.15.00', '07.16.00', '07.17.00', '07.18.00', '07.19.00']","[31, 28, 32, 31, 30]",5
"['07.23.00', '07.24.00']","[23, 25]",2
"['07.27.00', '07.28.00']","[27, 22]",2
"['07.48.00', '07.49.00']","[21, 22]",2
"['08.28.00', '08.29.00', '08.30.00']","[31, 24, 41]",3
"['08.32.00', '08.33.00', '08.34.00', '08.35.00', '08.36.00', '08.37.00']","[37, 37, 45, 46, 29, 31]",6
"['08.39.00', '08.40.00', '08.41.00', '08.42.00', '08.43.00', '08.44.00', '08.45.00']","[26, 33, 38, 32, 36, 31, 29]",7
"['08.48.00', '08.49.00', '08.50.00']","[29, 25, 24]",3
"['08.52.00', '08.53.00', '08.54.00', '08.55.00', '08.56.00']","[30, 32, 30, 23, 37]",5
"['08.58.00', '08.59.00']","[31, 35]",2
"['09.02.00', '09.03.00', '09.04.00']","[28, 29, 31]",3
"['09.08.00', '09.09.00']","[30, 34]",2
"['09.22.00', '09.23.00']","[27, 26]",2
"['09.32.00', '09.33.00']","[21, 22]",2
"['10.20.00', '10.21.00']","[21, 26]",2
"['10.23.00', '10.24.00', '10.25.00', '10.26.00', '10.27.00']","[24, 22, 24, 24, 24]",5
"['10.29.00', '10.30.00']","[30, 26]",2
"['10.55.00', '10.56.00']","[20, 24]",2
"['10.59.00', '11.00.00']","[25, 31]",2
"['11.02.00', '11.03.00', '11.04.00', '11.05.00', '11.06.00']","[28, 25, 29, 29, 31]",5
"['11.08.00', '11.09.00', '11.10.00']","[28, 27, 31]",3
"['11.12.00', '11.13.00', '11.14.00']","[23, 30, 24]",3
"['11.16.00', '11.17.00', '11.18.00']","[25, 24, 22]",3
"['11.31.00', '11.32.00', '11.33.00']","[26, 25, 21]",3
"['11.38.00', '11.39.00', '11.40.00', '11.41.00']","[25, 25, 29, 23]",4
"['11.47.00', '11.48.00']","[28, 30]",2
"['11.50.00', '11.51.00']","[26, 29]",2
"['11.55.00', '11.56.00', '11.57.00', '11.58.00', '11.59.00', '12.00.00']","[32, 32, 36, 39, 33, 28]",6
"['12.07.00', '12.08.00']","[20, 16]",2
"['12.12.00', '12.13.00']","[28, 26]",2
"['12.29.00', '12.30.00', '12.31.00', '12.32.00', '12.33.00', '12.34.00']","[34, 34, 28, 31, 29, 27]",6
"['12.39.00', '12.40.00', '12.41.00']","[26, 28, 25]",3
"['12.51.00', '12.52.00', '12.53.00', '12.54.00', '12.55.00', '12.56.00', '12.57.00']","[34, 30, 32, 30, 30, 31, 34]",7
"['13.01.00', '13.02.00', '13.03.00', '13.04.00', '13.05.00', '13.06.00', '13.07.00', '13.08.00', '13.09.00', '13.10.00', '13.11.00', '13.12.00']","[35, 33, 40, 43, 33, 39, 37, 31, 31, 36, 35, 37]",12
"['13.14.00', '13.15.00', '13.16.00', '13.17.00', '13.18.00']","[36, 39, 26, 40, 31]",5
"['13.22.00', '13.23.00', '13.24.00', '13.25.00', '13.26.00', '13.27.00']","[42, 32, 38, 37, 27, 38]",6
"['13.29.00', '13.30.00', '13.31.00', '13.32.00', '13.33.00', '13.34.00', '13.35.00', '13.36.00', '13.37.00']","[33, 31, 45, 40, 28, 29, 27, 37, 35]",9
"['14.08.00', '14.09.00']","[24, 26]",2
"['14.15.00', '14.16.00']","[33, 33]",2
"['14.32.00', '14.33.00']","[27, 22]",2
"['14.41.00', '14.42.00', '14.43.00', '14.44.00', '14.45.00']","[25, 17, 18, 24, 29]",5
"['14.48.00', '14.49.00', '14.50.00', '14.51.00', '14.52.00', '14.53.00', '14.54.00', '14.55.00', '14.56.00']","[19, 19, 37, 27, 18, 40, 26, 23, 20]",9
"['14.58.00', '14.59.00']","[30, 38]",2
"['15.01.00', '15.02.00', '15.03.00']","[30, 39, 31]",3
"['15.07.00', '15.08.00']","[34, 22]",2
"['17.06.00', '17.07.00']","[22, 23]",2
"['18.10.00', '18.11.00', '18.12.00', '18.13.00', '18.14.00']","[32, 26, 30, 27, 31]",5
"['18.19.00', '18.20.00']","[30, 29]",2
"['18.24.00', '18.25.00']","[19, 27]",2
"['18.30.00', '18.31.00']","[24, 25]",2
"['18.39.00', '18.40.00']","[18, 20]",2
"['18.52.00', '18.53.00', '18.54.00', '18.55.00', '18.56.00', '18.57.00']","[17, 23, 17, 24, 29, 31]",6
"['19.02.00', '19.03.00', '19.04.00', '19.05.00', '19.06.00']","[28, 21, 27, 24, 30]",5
"['19.08.00', '19.09.00', '19.10.00', '19.11.00', '19.12.00']","[24, 34, 26, 48, 29]",5
"['19.20.00', '19.21.00', '19.22.00', '19.23.00', '19.24.00', '19.25.00', '19.26.00', '19.27.00']","[26, 27, 32, 27, 28, 26, 27, 31]",8
"['19.39.00', '19.40.00', '19.41.00']","[33, 25, 20]",3
"['19.48.00', '19.49.00']","[19, 24]",2
"['20.06.00', '20.07.00', '20.08.00']","[22, 22, 21]",3
"['20.11.00', '20.12.00', '20.13.00']","[30, 33, 26]",3
"['20.17.00', '20.18.00', '20.19.00', '20.20.00', '20.21.00', '20.22.00', '20.23.00', '20.24.00']","[31, 31, 34, 39, 36, 30, 31, 18]",8
"['20.26.00', '20.27.00', '20.28.00']","[33, 34, 27]",3
"['20.32.00', '20.33.00', '20.34.00', '20.35.00', '20.36.00', '20.37.00', '20.38.00']","[37, 27, 36, 25, 38, 37, 27]",7
"['20.40.00', '20.41.00']","[15, 20]",2
"['20.50.00', '20.51.00', '20.52.00', '20.53.00']","[15, 26, 35, 23]",4
"['20.55.00', '20.56.00', '20.57.00', '20.58.00']","[23, 17, 30, 25]",4
"['21.04.00', '21.05.00']","[29, 31]",2
"['21.10.00', '21.11.00', '21.12.00', '21.13.00', '21.14.00', '21.15.00', '21.16.00']","[28, 23, 21, 34, 32, 31, 21]",7
"['21.18.00', '21.19.00']","[36, 25]",2
"['21.21.00', '21.22.00']","[25, 24]",2
"['21.25.00', '21.26.00']","[19, 21]",2
"['21.32.00', '21.33.00', '21.34.00']","[32, 26, 27]",3
"['21.36.00', '21.37.00', '21.38.00', '21.39.00', '21.40.00']","[28, 25, 27, 22, 31]",5
"['21.43.00', '21.44.00', '21.45.00']","[20, 24, 27]",3
"['21.51.00', '21.52.00', '21.53.00']","[26, 35, 33]",3
"['21.56.00', '21.57.00', '21.58.00']","[22, 16, 19]",3
"['22.03.00', '22.04.00']","[29, 27]",2
"['22.07.00', '22.08.00']","[23, 30]",2
"['22.10.00', '22.11.00', '22.12.00', '22.13.00', '22.14.00']","[21, 31, 29, 33, 35]",5
"['22.22.00', '22.23.00', '22.24.00']","[28, 29, 19]",3
"['22.33.00', '22.34.00', '22.35.00', '22.36.00']","[19, 19, 25, 21]",4
"['22.41.00', '22.42.00', '22.43.00', '22.44.00', '22.45.00', '22.46.00', '22.47.00']","[29, 28, 26, 31, 35, 19, 29]",7
"['22.49.00', '22.50.00']","[25, 25]",2
"['23.04.00', '23.05.00']","[22, 26]",2
"['23.08.00', '23.09.00', '23.10.00', '23.11.00']","[23, 29, 34, 31]",4
"['23.14.00', '23.15.00']","[18, 25]",2
"['23.23.00', '23.24.00']","[28, 29]",2
"['23.29.00', '23.30.00', '23.31.00']","[36, 36, 35]",3
"['23.36.00', '23.37.00', '23.38.00', '23.39.00']","[28, 41, 26, 46]",4
"['23.41.00', '23.42.00', '23.43.00', '23.44.00']","[25, 31, 27, 34]",4
"['23.48.00', '23.49.00', '23.50.00']","[31, 35, 17]",3
"['23.52.00', '23.53.00', '23.54.00']","[26, 24, 24]",3
