minutes,taxi_count,sum
"['05.44.00', '05.45.00', '05.46.00', '05.47.00', '05.48.00']","[29, 25, 28, 31, 23]",5
"['05.55.00', '05.56.00']","[25, 23]",2
"['06.01.00', '06.02.00', '06.03.00']","[25, 24, 23]",3
"['06.30.00', '06.31.00']","[22, 24]",2
"['06.49.00', '06.50.00', '06.51.00', '06.52.00']","[24, 24, 24, 29]",4
"['07.10.00', '07.11.00']","[18, 25]",2
"['07.20.00', '07.21.00']","[24, 25]",2
"['07.23.00', '07.24.00', '07.25.00', '07.26.00', '07.27.00', '07.28.00', '07.29.00', '07.30.00', '07.31.00']","[30, 21, 29, 31, 35, 34, 19, 27, 28]",9
"['07.37.00', '07.38.00']","[28, 30]",2
"['07.40.00', '07.41.00']","[33, 29]",2
"['07.46.00', '07.47.00', '07.48.00']","[28, 33, 32]",3
"['07.50.00', '07.51.00']","[25, 27]",2
"['07.53.00', '07.54.00']","[28, 24]",2
"['08.00.00', '08.01.00']","[35, 30]",2
"['08.06.00', '08.07.00', '08.08.00', '08.09.00', '08.10.00', '08.11.00']","[26, 27, 24, 26, 21, 21]",6
"['08.16.00', '08.17.00', '08.18.00', '08.19.00', '08.20.00', '08.21.00', '08.22.00']","[28, 28, 30, 30, 33, 34, 34]",7
"['08.26.00', '08.27.00']","[31, 33]",2
"['08.32.00', '08.33.00', '08.34.00']","[24, 27, 37]",3
"['08.36.00', '08.37.00', '08.38.00', '08.39.00', '08.40.00', '08.41.00', '08.42.00', '08.43.00', '08.44.00', '08.45.00']","[25, 26, 33, 27, 39, 21, 37, 27, 32, 29]",10
"['08.47.00', '08.48.00', '08.49.00', '08.50.00', '08.51.00', '08.52.00', '08.53.00']","[30, 30, 31, 29, 40, 21, 30]",7
"['08.56.00', '08.57.00', '08.58.00', '08.59.00', '09.00.00', '09.01.00', '09.02.00']","[27, 31, 37, 30, 40, 31, 32]",7
"['09.04.00', '09.05.00', '09.06.00']","[36, 35, 38]",3
"['09.08.00', '09.09.00', '09.10.00', '09.11.00', '09.12.00']","[30, 31, 28, 26, 23]",5
"['09.15.00', '09.16.00']","[30, 28]",2
"['09.18.00', '09.19.00', '09.20.00', '09.21.00']","[24, 25, 25, 26]",4
"['09.29.00', '09.30.00', '09.31.00', '09.32.00']","[26, 23, 21, 22]",4
"['09.37.00', '09.38.00', '09.39.00']","[23, 25, 21]",3
"['09.42.00', '09.43.00']","[20, 16]",2
"['09.47.00', '09.48.00']","[23, 19]",2
"['09.57.00', '09.58.00', '09.59.00', '10.00.00']","[30, 26, 27, 27]",4
"['10.12.00', '10.13.00', '10.14.00']","[21, 23, 26]",3
"['10.20.00', '10.21.00', '10.22.00', '10.23.00', '10.24.00', '10.25.00']","[22, 29, 37, 28, 25, 27]",6
"['10.29.00', '10.30.00', '10.31.00', '10.32.00', '10.33.00']","[37, 35, 40, 20, 24]",5
"['10.35.00', '10.36.00', '10.37.00', '10.38.00']","[33, 27, 35, 25]",4
"['10.47.00', '10.48.00']","[26, 24]",2
"['10.54.00', '10.55.00']","[28, 33]",2
"['10.58.00', '10.59.00', '11.00.00', '11.01.00', '11.02.00', '11.03.00', '11.04.00']","[28, 34, 35, 27, 34, 43, 33]",7
"['11.06.00', '11.07.00', '11.08.00']","[39, 34, 25]",3
"['11.10.00', '11.11.00', '11.12.00', '11.13.00', '11.14.00', '11.15.00', '11.16.00', '11.17.00', '11.18.00']","[21, 31, 24, 28, 23, 23, 32, 29, 38]",9
"['11.20.00', '11.21.00', '11.22.00', '11.23.00', '11.24.00', '11.25.00', '11.26.00', '11.27.00', '11.28.00', '11.29.00', '11.30.00', '11.31.00', '11.32.00', '11.33.00', '11.34.00', '11.35.00', '11.36.00', '11.37.00', '11.38.00', '11.39.00', '11.40.00', '11.41.00']","[27, 36, 27, 37, 35, 35, 41, 33, 30, 35, 26, 36, 37, 31, 41, 24, 34, 32, 36, 32, 26, 43]",22
"['11.43.00', '11.44.00']","[32, 33]",2
"['11.46.00', '11.47.00', '11.48.00']","[33, 29, 34]",3
"['11.51.00', '11.52.00', '11.53.00', '11.54.00', '11.55.00', '11.56.00', '11.57.00', '11.58.00', '11.59.00', '12.00.00', '12.01.00', '12.02.00', '12.03.00']","[32, 32, 24, 38, 23, 33, 32, 28, 39, 33, 27, 29, 39]",13
"['12.05.00', '12.06.00']","[24, 27]",2
"['12.13.00', '12.14.00', '12.15.00', '12.16.00', '12.17.00', '12.18.00', '12.19.00', '12.20.00', '12.21.00', '12.22.00', '12.23.00']","[29, 37, 28, 25, 27, 32, 26, 27, 36, 31, 35]",11
"['12.25.00', '12.26.00']","[41, 31]",2
"['12.39.00', '12.40.00']","[19, 30]",2
"['12.42.00', '12.43.00']","[25, 30]",2
"['12.51.00', '12.52.00']","[23, 31]",2
"['12.54.00', '12.55.00']","[33, 23]",2
"['12.57.00', '12.58.00', '12.59.00', '13.00.00', '13.01.00', '13.02.00', '13.03.00', '13.04.00', '13.05.00', '13.06.00', '13.07.00', '13.08.00', '13.09.00', '13.10.00', '13.11.00']","[24, 23, 23, 26, 30, 35, 28, 32, 21, 33, 24, 26, 31, 32, 36]",15
"['13.13.00', '13.14.00', '13.15.00', '13.16.00', '13.17.00', '13.18.00', '13.19.00', '13.20.00', '13.21.00', '13.22.00', '13.23.00', '13.24.00']","[21, 46, 26, 41, 36, 25, 27, 30, 35, 34, 42, 34]",12
"['13.28.00', '13.29.00', '13.30.00', '13.31.00', '13.32.00', '13.33.00']","[49, 41, 37, 45, 29, 46]",6
"['13.35.00', '13.36.00', '13.37.00', '13.38.00', '13.39.00', '13.40.00', '13.41.00', '13.42.00', '13.43.00', '13.44.00', '13.45.00', '13.46.00', '13.47.00', '13.48.00', '13.49.00', '13.50.00', '13.51.00', '13.52.00', '13.53.00', '13.54.00', '13.55.00']","[65, 34, 48, 53, 26, 49, 65, 57, 47, 31, 28, 49, 45, 35, 42, 52, 39, 26, 29, 26, 38]",21
"['13.57.00', '13.58.00', '13.59.00', '14.00.00', '14.01.00', '14.02.00', '14.03.00', '14.04.00']","[35, 30, 26, 47, 30, 35, 27, 36]",8
"['14.06.00', '14.07.00', '14.08.00', '14.09.00']","[48, 48, 27, 28]",4
"['14.11.00', '14.12.00']","[38, 31]",2
"['14.18.00', '14.19.00']","[21, 26]",2
"['14.24.00', '14.25.00']","[34, 29]",2
"['15.21.00', '15.22.00']","[25, 26]",2
"['15.27.00', '15.28.00']","[34, 18]",2
"['15.30.00', '15.31.00', '15.32.00', '15.33.00', '15.34.00', '15.35.00', '15.36.00']","[20, 41, 46, 31, 26, 30, 22]",7
"['15.40.00', '15.41.00', '15.42.00']","[31, 16, 34]",3
"['15.44.00', '15.45.00', '15.46.00', '15.47.00', '15.48.00', '15.49.00']","[24, 27, 48, 34, 30, 23]",6
"['16.01.00', '16.02.00', '16.03.00', '16.04.00', '16.05.00']","[24, 17, 15, 24, 25]",5
"['16.25.00', '16.26.00']","[18, 31]",2
"['16.30.00', '16.31.00', '16.32.00', '16.33.00']","[21, 24, 23, 24]",4
"['16.35.00', '16.36.00', '16.37.00', '16.38.00', '16.39.00', '16.40.00', '16.41.00', '16.42.00', '16.43.00', '16.44.00']","[31, 35, 33, 30, 31, 30, 33, 26, 39, 24]",10
"['16.49.00', '16.50.00', '16.51.00', '16.52.00', '16.53.00', '16.54.00', '16.55.00', '16.56.00']","[37, 20, 34, 32, 40, 24, 29, 26]",8
"['17.02.00', '17.03.00']","[28, 24]",2
"['17.05.00', '17.06.00', '17.07.00', '17.08.00']","[24, 32, 23, 24]",4
"['17.30.00', '17.31.00']","[18, 27]",2
"['17.38.00', '17.39.00', '17.40.00', '17.41.00', '17.42.00', '17.43.00']","[25, 27, 27, 32, 19, 24]",6
"['17.47.00', '17.48.00', '17.49.00', '17.50.00']","[19, 24, 24, 36]",4
"['17.55.00', '17.56.00']","[30, 31]",2
"['17.58.00', '17.59.00', '18.00.00', '18.01.00']","[31, 23, 20, 24]",4
"['18.05.00', '18.06.00']","[24, 20]",2
"['18.22.00', '18.23.00', '18.24.00']","[21, 19, 17]",3
"['18.32.00', '18.33.00', '18.34.00', '18.35.00']","[28, 19, 22, 24]",4
"['18.50.00', '18.51.00']","[17, 27]",2
"['18.54.00', '18.55.00']","[17, 15]",2
"['19.04.00', '19.05.00', '19.06.00']","[30, 20, 22]",3
"['19.12.00', '19.13.00']","[25, 26]",2
"['19.33.00', '19.34.00', '19.35.00']","[15, 16, 22]",3
"['22.02.00', '22.03.00']","[23, 21]",2
"['23.29.00', '23.30.00']","[21, 22]",2
"['23.32.00', '23.33.00']","[23, 30]",2
