minutes,taxi_count,sum
"['11.19.00', '11.20.00']","[32, 29]",2
"['11.22.00', '11.23.00', '11.24.00', '11.25.00']","[34, 34, 28, 30]",4
"['11.27.00', '11.28.00', '11.29.00', '11.30.00', '11.31.00', '11.32.00']","[29, 27, 30, 31, 24, 30]",6
"['11.36.00', '11.37.00', '11.38.00', '11.39.00']","[33, 29, 29, 30]",4
"['11.49.00', '11.50.00']","[29, 26]",2
"['11.53.00', '11.54.00', '11.55.00']","[24, 21, 26]",3
"['12.03.00', '12.04.00']","[32, 21]",2
"['12.27.00', '12.28.00', '12.29.00']","[28, 27, 30]",3
"['12.32.00', '12.33.00', '12.34.00']","[22, 27, 29]",3
"['12.38.00', '12.39.00', '12.40.00', '12.41.00', '12.42.00', '12.43.00', '12.44.00']","[26, 34, 31, 29, 21, 23, 26]",7
"['12.54.00', '12.55.00', '12.56.00']","[21, 21, 33]",3
"['13.02.00', '13.03.00', '13.04.00']","[38, 26, 38]",3
"['13.11.00', '13.12.00', '13.13.00']","[24, 20, 23]",3
"['13.20.00', '13.21.00']","[31, 25]",2
"['13.23.00', '13.24.00', '13.25.00', '13.26.00', '13.27.00']","[26, 29, 23, 25, 21]",5
"['13.37.00', '13.38.00']","[34, 24]",2
"['13.40.00', '13.41.00', '13.42.00', '13.43.00', '13.44.00', '13.45.00', '13.46.00']","[36, 31, 30, 28, 37, 29, 31]",7
"['13.48.00', '13.49.00']","[28, 31]",2
"['13.51.00', '13.52.00', '13.53.00', '13.54.00']","[26, 27, 24, 21]",4
"['13.56.00', '13.57.00']","[30, 33]",2
"['14.02.00', '14.03.00', '14.04.00']","[28, 29, 28]",3
"['14.07.00', '14.08.00']","[27, 21]",2
"['14.12.00', '14.13.00', '14.14.00']","[18, 30, 42]",3
"['14.19.00', '14.20.00']","[24, 27]",2
"['15.05.00', '15.06.00', '15.07.00', '15.08.00']","[21, 17, 21, 25]",4
"['15.12.00', '15.13.00', '15.14.00', '15.15.00', '15.16.00', '15.17.00']","[26, 32, 23, 27, 26, 26]",6
"['15.21.00', '15.22.00']","[19, 17]",2
"['15.28.00', '15.29.00', '15.30.00', '15.31.00']","[27, 15, 19, 20]",4
"['17.02.00', '17.03.00']","[15, 21]",2
"['17.07.00', '17.08.00']","[28, 16]",2
"['17.44.00', '17.45.00', '17.46.00', '17.47.00', '17.48.00']","[21, 16, 34, 26, 21]",5
"['17.57.00', '17.58.00']","[34, 29]",2
"['18.27.00', '18.28.00']","[20, 31]",2
"['18.42.00', '18.43.00', '18.44.00', '18.45.00', '18.46.00', '18.47.00']","[38, 17, 15, 23, 18, 16]",6
"['19.04.00', '19.05.00']","[27, 32]",2
"['20.03.00', '20.04.00']","[18, 25]",2
"['20.12.00', '20.13.00']","[22, 24]",2
"['20.21.00', '20.22.00', '20.23.00']","[15, 30, 32]",3
"['20.51.00', '20.52.00']","[20, 19]",2
"['20.56.00', '20.57.00']","[21, 16]",2
"['21.20.00', '21.21.00', '21.22.00', '21.23.00', '21.24.00', '21.25.00', '21.26.00', '21.27.00']","[29, 25, 27, 35, 29, 23, 24, 33]",8
"['21.31.00', '21.32.00', '21.33.00']","[22, 27, 27]",3
"['21.35.00', '21.36.00', '21.37.00', '21.38.00']","[31, 25, 22, 23]",4
"['21.52.00', '21.53.00']","[23, 28]",2
"['22.09.00', '22.10.00', '22.11.00', '22.12.00', '22.13.00']","[27, 23, 20, 28, 20]",5
"['22.16.00', '22.17.00']","[25, 17]",2
"['22.21.00', '22.22.00']","[24, 24]",2
"['22.54.00', '22.55.00', '22.56.00', '22.57.00']","[24, 20, 34, 24]",4
"['23.19.00', '23.20.00']","[34, 33]",2
"['23.35.00', '23.36.00', '23.37.00']","[27, 23, 24]",3
"['23.40.00', '23.41.00', '23.42.00']","[30, 30, 29]",3
