minutes,taxi_count,sum
"['12.29.00', '12.30.00', '12.31.00', '12.32.00', '12.33.00', '12.34.00']","[23, 16, 19, 21, 19, 27]",6
"['12.49.00', '12.50.00', '12.51.00', '12.52.00']","[23, 24, 21, 29]",4
"['13.04.00', '13.05.00']","[20, 20]",2
"['13.31.00', '13.32.00']","[22, 22]",2
"['14.07.00', '14.08.00', '14.09.00', '14.10.00', '14.11.00']","[26, 22, 19, 26, 27]",5
"['14.17.00', '14.18.00', '14.19.00']","[21, 22, 28]",3
"['14.23.00', '14.24.00', '14.25.00', '14.26.00', '14.27.00', '14.28.00', '14.29.00']","[35, 28, 23, 23, 23, 18, 19]",7
"['14.40.00', '14.41.00', '14.42.00']","[21, 17, 17]",3
"['15.05.00', '15.06.00']","[22, 16]",2
"['15.13.00', '15.14.00']","[22, 21]",2
"['15.21.00', '15.22.00']","[15, 30]",2
"['15.24.00', '15.25.00']","[27, 24]",2
"['17.13.00', '17.14.00']","[20, 19]",2
"['18.09.00', '18.10.00']","[22, 27]",2
"['18.15.00', '18.16.00']","[16, 23]",2
"['18.20.00', '18.21.00']","[27, 23]",2
"['19.19.00', '19.20.00', '19.21.00']","[28, 29, 29]",3
"['19.31.00', '19.32.00', '19.33.00', '19.34.00']","[26, 23, 25, 24]",4
"['19.41.00', '19.42.00']","[22, 24]",2
"['19.50.00', '19.51.00']","[19, 21]",2
"['20.00.00', '20.01.00']","[21, 20]",2
"['20.07.00', '20.08.00']","[32, 32]",2
"['20.10.00', '20.11.00']","[26, 27]",2
"['20.23.00', '20.24.00', '20.25.00']","[21, 23, 19]",3
