date,time,taxi_count,queue_length,day_type
2023-12-16,02%3A34%3A00,24,81.94432485087749,weekend
2023-12-16,02%3A35%3A00,26,92.16246959561231,weekend
2023-12-16,02%3A36%3A00,28,123.95091098016735,weekend
2023-12-16,02%3A37%3A00,19,64.76120140793412,weekend
2023-12-16,02%3A38%3A00,25,102.49381394772239,weekend
2023-12-16,02%3A39%3A00,28,178.31738113462345,weekend
2023-12-16,02%3A40%3A00,22,84.50721517782848,weekend
2023-12-16,02%3A41%3A00,24,88.80094241578139,weekend
2023-12-16,02%3A42%3A00,16,51.49963704997995,weekend
2023-12-16,02%3A43%3A00,23,88.98969506289593,weekend
2023-12-16,02%3A44%3A00,31,0,weekend
2023-12-16,02%3A45%3A00,25,100.78494646368377,weekend
2023-12-16,02%3A46%3A00,19,59.53276641109849,weekend
2023-12-16,02%3A47%3A00,24,129.71583411940657,weekend
2023-12-16,02%3A48%3A00,23,110.31274358675441,weekend
2023-12-16,02%3A49%3A00,22,79.73453905624126,weekend
2023-12-16,02%3A50%3A00,25,69.59565453698599,weekend
2023-12-16,02%3A51%3A00,19,67.99428622041117,weekend
2023-12-16,02%3A52%3A00,15,35.40146526548031,weekend
2023-12-16,02%3A53%3A00,28,134.44214318795025,weekend
2023-12-16,02%3A54%3A00,26,142.23803061346214,weekend
2023-12-16,02%3A55%3A00,13,62.98106321541215,weekend
2023-12-16,02%3A56%3A00,20,111.55877906151332,weekend
2023-12-16,02%3A57%3A00,18,76.27469225687021,weekend
2023-12-16,02%3A58%3A00,18,58.7876577265609,weekend
2023-12-16,03%3A00%3A00,28,132.37083581629892,weekend
2023-12-16,03%3A01%3A00,22,89.92500697505109,weekend
2023-12-16,03%3A02%3A00,23,93.12538461447801,weekend
2023-12-16,03%3A03%3A00,19,54.58540623063612,weekend
2023-12-16,03%3A04%3A00,25,0,weekend
2023-12-16,03%3A05%3A00,29,129.81932676340446,weekend
2023-12-16,03%3A06%3A00,25,128.17197494404496,weekend
2023-12-16,03%3A07%3A00,28,125.32871504885357,weekend
2023-12-16,03%3A08%3A00,29,0,weekend
2023-12-16,03%3A09%3A00,30,126.79921391582249,weekend
2023-12-16,03%3A10%3A00,24,107.02595090291169,weekend
2023-12-16,03%3A11%3A00,28,163.7727812448119,weekend
2023-12-16,03%3A12%3A00,28,116.99971572793129,weekend
2023-12-16,03%3A13%3A00,25,90.03764426939931,weekend
2023-12-16,03%3A14%3A00,35,167.5769931074003,weekend
2023-12-16,03%3A15%3A00,30,0,weekend
2023-12-16,03%3A16%3A00,34,191.1086597098348,weekend
2023-12-16,03%3A17%3A00,26,80.55055515437247,weekend
2023-12-16,03%3A18%3A00,24,104.20231196283123,weekend
2023-12-16,03%3A19%3A00,27,137.71466790496197,weekend
2023-12-16,03%3A20%3A00,28,133.29702840047,weekend
2023-12-16,03%3A21%3A00,22,79.53518976949758,weekend
2023-12-16,03%3A22%3A00,23,89.94934856105677,weekend
2023-12-16,03%3A23%3A00,20,101.70260829200593,weekend
2023-12-16,03%3A24%3A00,18,107.00154631350328,weekend
2023-12-16,03%3A25%3A00,10,67.2762198529754,weekend
2023-12-16,03%3A26%3A00,19,81.4169738063761,weekend
2023-12-16,03%3A27%3A00,18,66.80073466223268,weekend
2023-12-16,03%3A28%3A00,20,105.32768874538947,weekend
2023-12-16,03%3A29%3A00,18,100.48851909775398,weekend
2023-12-16,03%3A30%3A00,16,0,weekend
2023-12-16,03%3A31%3A00,16,0,weekend
2023-12-16,03%3A32%3A00,7,30.854842159342944,weekend
2023-12-16,03%3A33%3A00,12,47.294029106413504,weekend
2023-12-16,03%3A34%3A00,9,0,weekend
2023-12-16,03%3A35%3A00,0,[],weekend
2023-12-16,03%3A36%3A00,0,[],weekend
2023-12-16,03%3A37%3A00,0,[],weekend
2023-12-16,03%3A38%3A00,0,[],weekend
2023-12-16,03%3A39%3A00,0,[],weekend
2023-12-16,03%3A40%3A00,0,[],weekend
2023-12-16,03%3A41%3A00,0,[],weekend
2023-12-16,03%3A42%3A00,0,[],weekend
2023-12-16,03%3A43%3A00,0,[],weekend
2023-12-16,03%3A44%3A00,0,[],weekend
2023-12-16,03%3A45%3A00,0,[],weekend
2023-12-16,03%3A46%3A00,0,[],weekend
2023-12-16,03%3A47%3A00,0,[],weekend
2023-12-16,03%3A48%3A00,0,[],weekend
2023-12-16,03%3A49%3A00,0,[],weekend
2023-12-16,03%3A50%3A00,0,[],weekend
2023-12-16,03%3A51%3A00,0,[],weekend
2023-12-16,03%3A52%3A00,0,[],weekend
2023-12-16,03%3A53%3A00,0,[],weekend
2023-12-16,03%3A54%3A00,0,[],weekend
2023-12-16,03%3A55%3A00,0,[],weekend
2023-12-16,03%3A56%3A00,0,[],weekend
2023-12-16,03%3A57%3A00,0,[],weekend
2023-12-16,03%3A58%3A00,0,[],weekend
2023-12-16,04%3A00%3A00,0,[],weekend
2023-12-16,04%3A01%3A00,0,[],weekend
2023-12-16,04%3A02%3A00,0,[],weekend
2023-12-16,04%3A03%3A00,0,[],weekend
2023-12-16,04%3A04%3A00,0,[],weekend
2023-12-16,04%3A05%3A00,7,0,weekend
2023-12-16,04%3A06%3A00,7,0,weekend
2023-12-16,04%3A07%3A00,14,0,weekend
2023-12-16,04%3A08%3A00,16,84.67537836207043,weekend
2023-12-16,04%3A09%3A00,13,59.12019589111219,weekend
2023-12-16,04%3A10%3A00,18,85.67305516158294,weekend
2023-12-16,04%3A11%3A00,7,32.63914894010323,weekend
2023-12-16,04%3A12%3A00,7,32.63914894010323,weekend
2023-12-16,04%3A13%3A00,18,91.38899401363066,weekend
2023-12-16,04%3A14%3A00,13,64.96544175036001,weekend
2023-12-16,04%3A15%3A00,16,83.28170008024851,weekend
2023-12-16,04%3A16%3A00,14,64.17205439114124,weekend
2023-12-16,04%3A17%3A00,16,101.5439842628796,weekend
2023-12-16,04%3A18%3A00,18,94.94927328712068,weekend
2023-12-16,04%3A19%3A00,17,82.66029706429393,weekend
2023-12-16,04%3A20%3A00,15,84.68304957138173,weekend
2023-12-16,04%3A21%3A00,14,65.48181360874781,weekend
2023-12-16,04%3A22%3A00,8,0,weekend
2023-12-16,04%3A23%3A00,10,30.954690152594385,weekend
2023-12-16,04%3A24%3A00,19,71.93894147586428,weekend
2023-12-16,04%3A25%3A00,7,16.973864050357587,weekend
2023-12-16,04%3A26%3A00,10,47.35188733964597,weekend
2023-12-16,04%3A27%3A00,10,25.650434146949824,weekend
2023-12-16,04%3A28%3A00,11,0,weekend
2023-12-16,04%3A29%3A00,20,72.56323919125448,weekend
2023-12-16,04%3A30%3A00,20,69.1106417115431,weekend
2023-12-16,04%3A31%3A00,21,69.1106417115431,weekend
2023-12-16,04%3A32%3A00,19,0,weekend
2023-12-16,04%3A33%3A00,19,0,weekend
2023-12-16,04%3A34%3A00,23,68.97869986035023,weekend
2023-12-16,04%3A35%3A00,19,63.52902008193571,weekend
2023-12-16,04%3A36%3A00,18,62.633599220465825,weekend
2023-12-16,04%3A37%3A00,22,76.31390014377187,weekend
2023-12-16,04%3A38%3A00,23,70.30457363000961,weekend
2023-12-16,04%3A39%3A00,30,139.22303479917113,weekend
2023-12-16,04%3A40%3A00,15,43.18161267923191,weekend
2023-12-16,04%3A41%3A00,14,43.18161267923191,weekend
2023-12-16,04%3A42%3A00,17,59.65200345277485,weekend
2023-12-16,04%3A43%3A00,18,43.13856913531772,weekend
2023-12-16,04%3A44%3A00,15,140.41209449353354,weekend
2023-12-16,04%3A45%3A00,18,56.98319497147893,weekend
2023-12-16,04%3A46%3A00,25,150.17954739476374,weekend
2023-12-16,04%3A47%3A00,21,56.377340883421994,weekend
2023-12-16,04%3A48%3A00,19,86.1820446811699,weekend
2023-12-16,04%3A49%3A00,31,169.42459497247708,weekend
2023-12-16,04%3A50%3A00,27,184.11434412142148,weekend
2023-12-16,04%3A51%3A00,15,58.787657796667546,weekend
2023-12-16,04%3A52%3A00,36,316.31470255602113,weekend
2023-12-16,04%3A53%3A00,32,319.795855068806,weekend
2023-12-16,04%3A54%3A00,15,79.0829090238956,weekend
2023-12-16,04%3A55%3A00,36,290.9844203198632,weekend
2023-12-16,04%3A56%3A00,21,106.59785011073144,weekend
2023-12-16,04%3A57%3A00,18,78.92319621645998,weekend
2023-12-16,04%3A58%3A00,28,118.03901722054596,weekend
2023-12-16,05%3A00%3A00,35,0,weekend
2023-12-16,05%3A01%3A00,26,189.27192618116706,weekend
2023-12-16,05%3A02%3A00,25,85.48457137669192,weekend
2023-12-16,05%3A03%3A00,30,168.59174711397557,weekend
2023-12-16,05%3A04%3A00,25,121.32337349354864,weekend
